#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#;;;;;;;;;;;x
RT_ARTILLERY;Artillery;Artillerie;Artiglieria;Artillería;Artillerie;Artyleria;;Àðòèëëåðèÿ;;;x
RT_MECHANICS;Mechanics;Mécanique;Meccanica;Mecánica;Mechanik;Mechanika;;Ìåõàíèêà;;;x
RT_ELECTRONICS;Electronics;Électronique;Elettronica;Electrónica;Elektronik;Elektronika;;Ýëåêòðîíèêà;;;x
RT_CHEMISTRY;Chemistry;Chimie;Chimica;Química;Chemie;Chemia;;Õèìèÿ;;;x
RT_TRAINING;Training;Entraînement;Addestramento;Instrucción;Übung;Szkolenie;;Îáó÷åíèå;;;x
RT_GENERAL_EQUIPMENT;General Equipment;Équipement général;Equipaggiamento generale;Equipo general;Allgemeine Ausrüstung;Sprzêt ogólny;;Îáîðóäîâàíèå îáùåãî íàçíà÷åíèÿ;;;x
RT_ROCKETRY;Rocketry;Fuséonautique;Missilistica;Técnica de cohetes;Raketentechnik;Technologia rakietowa;;Ðàêåòíàÿ òåõíèêà;;;x
RT_NAVAL_ENGINEERING;Naval Engineering;Génie maritime;Ingegneria navale;Ingeniería naval;Marinetechnik;Technologia morska;;Ñóäîñòðîåíèå;;;x
RT_AERONAUTICS;Aeronautics;Aéronautique;Aeronautica;Aeronáutica;Flugtechnik;Lotnictwo;;Àâèàöèÿ;;;x
RT_NUCLEAR_PHYSICS;Nuclear Physics;Physique nucléaire;Fisica nucleare;Física nuclear;Nuklearphysik;Fizyka j¹drowa;;ßäåðíàÿ ôèçèêà;;;x
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;Génie nucléaire;Ingegneria nucleare;Ingeniería nuclear;Nukleartechnik;Technika j¹drowa;;ßäåðíàÿ òåõíèêà;;;x
RT_MANAGEMENT;Management;Gestion;Gestione;Gestión;Management;Zarz¹dzanie;;Óïðàâëåíèå;;;x
RT_INDUSTRIAL_ENGINEERING;Industrial Engineering;Génie industriel;Ingegneria industriale;Ingeniería industrial;Produktionstechnik;Organizacja produkcji;;Ñòàíêîñòðîåíèå;;;x
RT_MATHEMATICS;Mathematics;Mathématiques;Matematica;Matemáticas;Mathematik;Matematyka;;Ìàòåìàòèêà;;;x
RT_SMALL_UNIT_TACTICS;Small Unit Tactics;Tact. petites unités;Tattica unità piccole;Tácticas de unidades pequeñas;Kleinverbandstaktiken;Taktyka ma³ych oddzia³ów;;Òàêòèêà ìàëûõ ïîäðàçäåëåíèé;;;x
RT_LARGE_UNIT_TACTICS;Large Unit Tactics;Tact. grandes unités;Tattica unità grandi;Tácticas de grandes unidades;Großverbandstaktiken;Taktyka du¿ych oddzia³ów;;Òàêòèêà áîëüøèõ ïîäðàçäåëåíèé;;;x
RT_CENTRALIZED_EXECUTION;Centralized Execution;Exéc. centralisée;Amministrazione centralizzata;Ejecución centralizada;Zentralisierte Abwicklung;Wykonywanie centralne;;Öåíòðàëèçîâàííîå èñïîëíåíèå;;;x
RT_DECENTRALIZED_EXECUTION;Decentralized Execution;Exéc. décentralisée;Amministrazione decentralizzata;Ejecución descentralizada;Dezentralisierte Abwicklung;Wykonywanie zdecentralizowane;;Äåöåíòðàëèçîâàííîå èñïîëíåíèå;;;x
RT_TECHNICAL_EFFICIENCY;Technical Efficiency;Efficacité technique;Efficienza tecnica;Eficacia técnica;Technische Effizienz;Efektywnoœæ techniczna;;Òåõíè÷åñêàÿ ýôôåêòèâíîñòü;;;x
RT_INDIVIDUAL_COURAGE;Individual Courage;Courage individuel;Coraggio individuale;Valor individual;Individuelle Courage;Odwaga jednostki;;Ëè÷íàÿ õðàáðîñòü;;;x
RT_INFANTRY_FOCUS;Infantry Focus;Objectif infanterie;Importanza sulla fanteria;Concentración en artillería;Infanteriefokus;Nacisk na piechotê;;Ïðèîðèòåò - ïåõîòà;;;x
RT_COMBINED_ARMS_FOCUS;Combined Arms Focus;Armées combinées;Importanza delle armi combinate;Concentración en armamento combinado;Fokus auf kombinierte Waffengattungen;Nacisk na wspó³pracê wojsk;;Ïðèîðèòåò - îáùåâîéñêîâîé;;;x
RT_LARGE_UNIT_FOCUS;Large Unit Focus;Obj. grandes unités;Importanza sulle unità grandi;Concentración en unidad grande;Großverbandfokus;Nacisk na du¿e jednostki;;Ïðèîðèòåò - êðóïíûå ñîåäèíåíèÿ;;;x
RT_NAVAL_ARTILLERY;Naval Artillery;Artillerie navale;Artiglieria navale;Artillería naval;Marineartillerie;Artyleria okrêtowa;;Ìîðñêàÿ àðòèëëåðèÿ;;;x
RT_NAVAL_TRAINING;Naval Training;Entraînement naval;Addestramento navale;Instrucción naval;Marineausbildung;Trening okrêtowy;;Ìîðñêîå îáó÷åíèå;;;x
