#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;x
#########################################;;;;;;;;;;;x
#  Division Description                  ;;;;;;;;;;;x
#########################################;;;;;;;;;;;x
NAME_INFANTRY;Infantry;Infanterie;Fanteria;Infantería;Infanterie;Piechota;;Ïåõîòà;;;x
NAME_CAVALRY;Cavalry;Cavalerie;Cavalleria;Caballería;Kavallerie;Kawaleria;;Êàâàëåðèÿ;;;x
NAME_MOTORIZED;Motorized;Motorisée;Unità motorizzata;Motorizada;Motorisiert;Zmotoryzowana;;Ìîòîðèç. ïåõîòà;;;x
NAME_MECHANIZED;Mechanized;Mécanisée;Unità meccanizzata;Mecanizada;Mechanisiert;Zmechanizowana;;Ìåõàíèç. ïåõîòà;;;x
NAME_LIGHT_ARMOR;Light Armored;Blindés légers;Corazzato leggero;Blindada ligera;Leichte Panzer;Lekka pancerna;;Ëåãêîòàíêîâàÿ äèâèçèÿ;;;x
NAME_ARMOR;Armored;Blindé;Corazzato;Blindada;Panzer;Pancerna;;Òàíêîâàÿ äèâèçèÿ;;;x
NAME_PARATROOPER;Paratroops;Parachutistes;Paracadutisti;Paracaidistas;Fallschirmjäger;Spadochroniarze;;ÂÄÂ;;;x
NAME_MARINE;Marines;Troupes d'assaut amphibie;Marine;Inf. marina;Marineinfanterie;Piechota morska;;Ìîðñêàÿ ïåõîòà;;;x
NAME_BERGSJAEGER;Mountain;Troupes alpines;Alpini;Montaña;Gebirgsjäger;Strzelcy górscy;;Ãîðíîñòðåëêè;;;x
NAME_MILITIA;Militia;Milice;Milizia;Milicia;Miliz;Milicja;;Îïîë÷åíèå;;;x
NAME_GARRISON;Garrison;Garnison;Presidio;Guarnición;Garnison;Garnizon;;Ãàðíèçîí;;;x
NAME_HQ;HQ;QG;QG;EM;HQ;Dowodzenia;;Øòàá;;;x
NAME_FIGHTER;Fighters;Chasseurs;Caccia;Cazas;Jäger;Myœliwiec;;Èñòðåáèòåëè;;;x
NAME_INTERCEPTOR;Interceptors;Intercepteurs;Intercettori;Interceptores;Abfangjäger;Myœliwiec przechwytuj¹cy;;Ïåðåõâàò÷èêè;;;x
NAME_MULTI_ROLE;Multirole Fighters;Chasseurs;Caccia;Cazas;Mehrzweckjäger;Myœliwiec wielozadaniowy;;Ìíîãîö. èñòðåáèòåëè;;;x
NAME_ESCORT;Escort Fighters;Chasseurs d’escorte;Caccia di scorta;Cazas de escolta;Begleitjäger;Myœliwiec eskortuj¹cy;;Èñòðåáèòåëè ñîïðîâîæ.;;;x
NAME_STRATEGIC_BOMBER;Strategic Bombers;Bombardiers strat.;Bomb. strategico;Bomb. Estratégico;Strategische Bomber;Bombowiec strategiczny;;Ñòðàò. áîìáàðä.;;;x
NAME_TACTICAL_BOMBER;Tactical Bombers;Bombardiers tactiques;Bomb. tattico;Bomb. Táctico;Taktische Bomber;Bombowiec taktyczny;;Òàêòè÷. áîìáàðä.;;;x
NAME_NAVAL_BOMBER;Naval Bomber;Bombardiers navals;Bomb. navale;Bomb. naval;Marinebomber;Bombowiec okrêtowy;;Ìîðñê. áîìáàðä.;;;x
NAME_TRANSPORT_PLANE;Transport Planes;Avions de transport;Aerei da trasporto;Aviones de transporte;Transportflugzeuge;Samoloty transportowe;;Òðàíñï. ñàìîëåòû;;;x
NAME_BATTLESHIP;Battleship;Cuirassés;Corazzata;Acorazado;Schlachtschiff;Pancernik;;Ëèíêîð;;;x
NAME_LIGHT_CRUISER;Light Cruiser;Croiseur léger;Incrociatore leggero;Crucero ligero;Leichter Kreuzer;Lekki kr¹¿ownik;;Ëåãêèé êðåéñåð;;;x
NAME_HEAVY_CRUISER;Heavy Cruiser;Croiseur lourd;Incrociatore pesante;Crucero pesado;Schwerer Kreuzer;Ciê¿ki kr¹¿ownik;;Òÿæåëûé êðåéñåð;;;x
NAME_BATTLECRUISER;Battlecruiser;Croiseur de bataille;Incrociatore da guerra;Crucero de batalla;Schlachtkreuzer;Kr¹¿ownik liniowy;;Ëèíåéíûé êðåéñåð;;;x
